?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHR_9606chr13q32.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q32.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q2 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qE3.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qE3.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q24.32>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q24.32 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q24.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q24.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qA5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qA5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q26>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q26 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18q21.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q21.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qE1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qE1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr15p15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15p15 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21p (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr18qB2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18qB2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q33.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q33.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q31 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11p14.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11p14.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q33>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q33 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7q11.23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q11.23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qD>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qD (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qB1.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qB1.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr20>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q24.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q24.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr10q26>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q26 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q13 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qH2.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qH2.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q35.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q35.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp11.4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp11.4 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr7qB2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7qB2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q13.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q13.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11p14.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11p14.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrYp1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYp1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q53>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q53 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qA3.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qA3.1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qH6>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qH6 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11q21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16q12.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q12.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr3q24>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q24 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr7p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7p1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qE2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qE2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qA4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qA4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p35>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p35 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q32.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q32.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q12.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q12.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chrM>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrM (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q24.23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q24.23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9796chr25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr25 (horse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qH1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qH1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16p14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p14 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qB1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qB1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr15q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p14.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p14.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q24.23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q24.23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q25>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q25 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr17qB1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17qB1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qA4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qA4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q21.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q21.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20q13.31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q13.31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19q13.43>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19q13.43 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr16q12.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16q12.1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr6q14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q14 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9796chr20>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20 (horse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q29>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q29 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qC2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qC2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q31.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q31.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXp11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXp11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qB>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qB (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr5q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9p24.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9p24.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qB5.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qB5.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q25.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q25.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8q12.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q12.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr15q24.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15q24.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q27>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q27 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qC5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qC5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr1qH5>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1qH5 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr4qC7>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4qC7 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr3q4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q4 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr2q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q23 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q33.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q33.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr20q>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20q (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr19p13.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19p13.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18q22.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q22.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr2qG>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2qG (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qE1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qE1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q12.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q12.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2p16.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2p16.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr13qD2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13qD2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr8q1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8q1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chrY>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrY (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9q12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q12 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p15.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p15.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrYqE>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrYqE (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q23.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q23.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5q22.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5q22.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr8p23.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8p23.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qF>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qF (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr8qA4>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr8qA4 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q13.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q13.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qD3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qD3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9031chr28>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr28 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_9606chr16p13.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr16p13.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1p21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qB2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qB2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18p13 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qB1.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qB1.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr15p13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15p13 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9q35>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q35 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr21p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr21p11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chrXqA1.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXqA1.3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chrXq22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq22 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr18q12.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q12.3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12q13.13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12q13.13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q36.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q36.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q21.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q21.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q14.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q14.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q34.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q34.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chrXq22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chrXq22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr17q12.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q12.3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q25.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q25.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr11qA1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11qA1 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q31>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q31 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr19qD2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr19qD2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr14qE>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14qE (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3q11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr2q32.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr2q32.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr9q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9q3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6p11.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6p11.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr10q23.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10q23.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr15qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr15qA (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr7q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7q3 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr6q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr6q11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9031chr23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr23 (chicken)"	
<http://purl.obolibrary.org/obo/CHR_9606chr11p12>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr11p12 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13p (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr17p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17p11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14q23>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14q23 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr12p11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12p11 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr5qE2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5qE2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr10qC3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr10qC3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10116chr4q11>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4q11 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1p>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1p (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p15.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p15.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr9>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr4p14>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr4p14 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr9qA5.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr9qA5.2 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_9606chr3p22.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3p22.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr1q3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr5p15>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr5p15 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr13q13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q13 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr1q22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr1q22 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr20p12.3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20p12.3 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr14p11.1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr14p11.1 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr18q21>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr18q21 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr17q24.2>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr17q24.2 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10116chr20p1>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr20p1 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_10116chr3q41>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr3q41 (Rat)"	
<http://purl.obolibrary.org/obo/CHR_9606chr13q14.13>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr13q14.13 (Human)"	
<http://purl.obolibrary.org/obo/CHR_9606chr22q11.22>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr22q11.22 (Human)"	
<http://purl.obolibrary.org/obo/CHR_10090chr7qA3>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr7qA3 (Mouse)"	
<http://purl.obolibrary.org/obo/CHR_10090chr12qA>	<http://www.w3.org/2000/01/rdf-schema#label>	"chr12qA (Mouse)"	
